"Stem","Role","Family","Maps","Luma","Std","StdC","R","G","B","Format","Size","Path"
"cr_rock05","crystal","crystalline","7","60.6","19.4","11.5","56.5","61.5","67.1","DXT3","512x512","/env/crystalline/layers/cr_rock05_albedo.dds"
"cr_rock004","crystal","crystalline","1","66.3","27.7","16.7","55.7","71.6","66.8","DXT3","512x512","/env/crystalline/layers/cr_rock004_albedo.dds"
"cru_rock002","crystal","MAP-LOCAL","1","66.4","17.9","15.1","70.7","65.4","59.6","DXT3","1024x1024","/maps/the_crucible.v0004/env/layers/cru_rock002.dds"
"cryst010_albedo2","crystal","MAP-LOCAL","1","66.8","3.6","1.5","0","91.1","116.6","DXT5","512x512","/maps/mystic_land.v0008/env/layers/cryst010_albedo2.dds"
"cryst010_albedo2","crystal","MAP-LOCAL","1","66.8","3.6","1.5","0","91.1","116.6","DXT5","512x512","/maps/mystic_land.v0011/env/layers/cryst010_albedo2.dds"
"cr_rock002b","crystal","crystalline","2","67.2","16.9","12.4","59.4","69.6","75","DXT3","512x512","/env/crystalline/layers/cr_rock002b_albedo.dds"
"crystalwerk01","crystal","crystalline","6","71","5.3","3.6","67.3","72.8","71.2","DXT3","512x512","/env/crystalline/layers/crystalwerk01_albedo.dds"
"cr_07_01b","crystal","crystalline","7","73","52.8","33.1","16.2","97.9","94.1","DXT3","512x512","/env/crystalline/layers/cr_07_01b_albedo.dds"
"crystalwerk03","crystal","crystalline","1","75.6","8.4","5.6","75","76.2","73.9","DXT5","512x512","/env/crystalline/layers/crystalwerk03_albedo.dds"
"cr_09_01","crystal","crystalline","3","76.1","21.3","12.8","66.8","80.1","80.2","DXT3","512x512","/env/crystalline/layers/cr_09_01_albedo.dds"
"crystalwerk04_b","crystal","crystalline","3","76.5","17.5","7.8","72.1","77.9","80.8","DXT3","512x512","/env/crystalline/layers/crystalwerk04_b_albedo.dds"
"crystalwerk04","crystal","crystalline","1","85.6","24.9","11.4","78.2","87.7","94.2","DXT5","512x512","/env/crystalline/layers/crystalwerk04_albedo.dds"
"cr_sandwet","crystal","crystalline","4","92.4","8.3","3.3","87.8","93.9","97.3","DXT3","512x512","/env/crystalline/layers/cr_sandwet_albedo.dds"
"crystalwerk05","crystal","crystalline","2","105.2","10.9","10","100.3","106.8","110.1","DXT1","512x512","/env/crystalline/layers/crystalwerk05_albedo.dds"
"crystalwerk06","crystal","crystalline","1","129","22.2","14.4","124.9","128","144.7","DXT5","512x512","/env/crystalline/layers/crystalwerk06_albedo.dds"
"crystalwerk04_normals","crystal","crystalline","1","140.2","32.6","9.1","127.8","128.5","233.3","uncompressed","512x512","/env/crystalline/layers/crystalwerk04_normals.dds"
"cr_rock002b_normal","crystal","crystalline","1","140.8","18.2","6.5","126.8","127.9","244.5","DXT3","512x512","/env/crystalline/layers/cr_rock002b_normal.dds"
"sw_mudder_04","dirt","swamp","4","17.8","9.4","3.7","15.7","20.7","8.8","DXT5","512x512","/env/swamp/layers/sw_mudder_04_albedo.dds"
"sw_mudder_01","dirt","swamp","6","22.3","14.9","5.9","19.8","25.4","12.9","DXT1","512x512","/env/swamp/layers/sw_mudder_01_albedo.dds"
"trop_dirt_albedo_blue tint","dirt","MAP-LOCAL","1","29.1","7.3","3.1","29","29.8","25.5","DXT5","512x512","/maps/bluelands.v0002/env/layers/trop_dirt_albedo_blue tint.dds"
"trop_dirt","dirt","tropical","17","34.7","8","3.4","41.2","35.1","15.8","DXT1","512x512","/env/tropical/layers/trop_dirt_albedo.dds"
"eg_dirt002","dirt","evergreen2","18","48.6","24.6","9.7","55.5","47.1","38.5","DXT1","512x512","/env/evergreen2/layers/eg_dirt002_albedo.dds"
"sak_mud1","dirt","MAP-LOCAL","1","57.6","11","6.4","63.6","55.9","50.5","DXT1","512x512","/maps/gateway_and_rose.v0002/env/layers/sak_mud1.dds"
"dirt","dirt","MAP-LOCAL","1","59","5.7","4.4","67.9","61.4","23.8","DXT5","1024x1024","/maps/autumn.v0001/env/layers/dirt_albedo.dds"
"rb_redmud","dirt","red barrens","10","64.9","10.3","5.5","111.7","48.1","28.7","DXT1","512x512","/env/red barrens/layers/rb_redmud_albedo.dds"
"eg_dirt002_albedo_purple tint","dirt","MAP-LOCAL","1","66.3","33","13.1","54.9","62.9","113.7","DXT5","512x512","/maps/bluelands.v0002/env/layers/eg_dirt002_albedo_purple tint.dds"
"eg_dirt003","dirt","evergreen2","28","67.2","21.7","9.7","77.2","64.9","52.7","DXT1","512x512","/env/evergreen2/layers/eg_dirt003_albedo.dds"
"eg_dirt001","dirt","evergreen2","11","67.2","33.9","13.4","76.7","65.1","53.2","DXT5","512x512","/env/evergreen2/layers/eg_dirt001_albedo.dds"
"tr_ground001","dirt","tropical","4","69.2","16.9","6.3","76.7","68.7","52.6","DXT1","512x512","/env/tropical/layers/tr_ground001_albedo.dds"
"dirt001","dirt","evergreen","10","70.6","21.7","11.7","72.2","82","7.7","DXT1","512x512","/env/evergreen/layers/dirt001_albedo.dds"
"trrawground01","dirt","tropical","4","72.1","15.3","7.6","81.8","71.7","48.1","DXT5","512x512","/env/tropical/layers/trrawground01_albedo.dds"
"dirt_b","dirt","MAP-LOCAL","1","75","10.2","5.1","93.3","68.7","59.6","DXT1","1024x1024","/maps/autumn.v0001/env/layers/dirt_b_albedo.dds"
"mentor5","dirt","MAP-LOCAL","1","78.2","16.7","12","101.6","74.2","37.9","DXT1","512x512","/maps/mentor.v0007/env/layers/mentor5.dds"
"dirt000","dirt","paradise","3","80.9","20.2","8.5","96.1","79.5","48.3","DXT1","512x512","/env/paradise/layers/dirt000_albedo.dds"
"geo_dirt_01","dirt","geothermal","9","86.9","35.4","16.5","84.3","85.5","100.9","DXT1","512x512","/env/geothermal/layers/geo_dirt_01_albedo.dds"
"_tundradirt001","dirt","tundra","2","87.2","38.3","15.2","96.5","85.3","72.2","DXT3","512x512","/env/tundra/layers/_tundradirt001_albedo.dds"
"dirt001","dirt","paradise","1","97.7","23.2","9.8","122.6","92.8","57.6","DXT1","512x512","/env/paradise/layers/dirt001_albedo.dds"
"dirt_a","dirt","MAP-LOCAL","1","99","10.1","4.4","108.6","98.1","78.5","DXT5","1024x1024","/maps/autumn.v0001/env/layers/dirt_a_albedo.dds"
"tex2_k","dirt","MAP-LOCAL","1","106","10.3","4.8","122.3","104","73.6","DXT1","512x512","/maps/amoor.v0003/env/layers/tex2_k.dds"
"mentor4","dirt","MAP-LOCAL","1","106.6","34.4","14.9","131.3","101.9","66.2","DXT1","512x512","/maps/mentor.v0007/env/layers/mentor4.dds"
"soil_q3","dirt","MAP-LOCAL","1","110.2","15.2","6.7","127.4","107.7","77.8","DXT1","512x512","/maps/amoor.v0003/env/layers/soil_q3.dds"
"evgrass006","grass","evergreen2","10","16.5","9.6","3.5","9.9","22.7","1.9","DXT1","512x512","/env/evergreen2/layers/evgrass006_albedo.dds"
"trop_grassjung","grass","tropical","2","25.7","10.4","5.3","19.4","31.7","11.2","DXT1","512x512","/env/tropical/layers/trop_grassjung_albedo.dds"
"sw_sphagnum_03","grass","swamp","2","28.7","14.7","9.4","24.7","34.1","12","DXT1","512x512","/env/swamp/layers/sw_sphagnum_03_albedo.dds"
"eg_grass001","grass","evergreen2","18","31.1","9.3","3.6","29.7","35.4","12.9","DXT1","512x512","/env/evergreen2/layers/eg_grass001_albedo.dds"
"trop_grass_albedo_blue tint","grass","MAP-LOCAL","1","31.1","14.9","5.8","26.9","31.1","42.3","DXT5","512x512","/maps/bluelands.v0002/env/layers/trop_grass_albedo_blue tint.dds"
"evgrass010a","grass","evergreen2","23","31.8","10.4","3.9","30.2","36.8","10.6","DXT1","512x512","/env/evergreen2/layers/evgrass010a_albedo.dds"
"macrotexture001","grass","paradise","4","38.4","7.4","3.1","39.8","42","16","DXT5","256x256","/env/paradise/layers/macrotexture001_albedo.dds"
"macrotexture000","grass","paradise","3","38.4","7.4","3.1","39.8","42","16","DXT5","256x256","/env/paradise/layers/macrotexture000_albedo.dds"
"evgrass009","grass","evergreen2","17","38.7","14.8","5.7","36.5","44","17.3","DXT5","512x512","/env/evergreen2/layers/evgrass009_albedo.dds"
"trgrass005","grass","tropical","1","41.3","7.9","3.1","39.8","47.2","15.2","DXT3","512x512","/env/tropical/layers/trgrass005_albedo.dds"
"evgrass005a","grass","evergreen2","11","41.6","10.1","3.7","38.5","48.2","15.5","DXT1","512x512","/env/evergreen2/layers/evgrass005a_albedo.dds"
"sw_sphagnum_01","grass","swamp","2","42","17.6","11.5","31.1","52.9","14.3","DXT1","512x512","/env/swamp/layers/sw_sphagnum_01_albedo.dds"
"sw_sphagnum_02","grass","swamp","1","43.4","12.8","6.5","32.2","54.6","15","DXT1","512x512","/env/swamp/layers/sw_sphagnum_02_albedo.dds"
"evgrass010","grass","evergreen2","8","44","13.3","4.9","43.4","48.4","22.6","DXT5","512x512","/env/evergreen2/layers/evgrass010_albedo.dds"
"sw_grass_02","grass","swamp","1","44.5","31.1","12.7","39.2","53.1","13.9","DXT1","512x512","/env/swamp/layers/sw_grass_02_albedo.dds"
"trop_grass","grass","tropical","15","47.5","19.6","7.6","54.9","49.6","17.2","DXT1","512x512","/env/tropical/layers/trop_grass_albedo.dds"
"eg_grass002c","grass","evergreen2","4","47.5","14","7.6","47.5","53.6","15.9","DXT3","512x512","/env/evergreen2/layers/eg_grass002c_albedo.dds"
"grass000","grass","paradise","1","47.5","19.6","7.6","54.9","49.6","17.2","DXT1","512x512","/env/paradise/layers/grass000_albedo.dds"
"grassjung","grass","paradise","1","48.7","19.8","10.3","31.1","63","21.2","DXT1","512x512","/env/paradise/layers/grassjung_albedo.dds"
"eg_grass002b","grass","evergreen2","3","50","11.8","6.4","47.6","56.7","22.2","DXT3","512x512","/env/evergreen2/layers/eg_grass002b_albedo.dds"
"eg_grass002","grass","evergreen2","1","50","11.8","6.4","47.6","56.7","22.2","DXT1","512x512","/env/evergreen2/layers/eg_grass002_albedo.dds"
"sw_mossy_01","grass","swamp","4","51.4","33.5","12.2","43.9","59.2","31.3","DXT1","512x512","/env/swamp/layers/sw_mossy_01_albedo.dds"
"macrotexture000","grass","evergreen","235","52.1","7.2","3","53.2","54.5","36.9","DXT5","256x256","/env/evergreen/layers/macrotexture000_albedo.dds"
"macrotexture001","grass","evergreen","11","52.1","7.2","3","53.2","54.5","36.9","DXT5","256x256","/env/evergreen/layers/macrotexture001_albedo.dds"
"evtrans01","grass","evergreen2","4","52.4","21","8.5","51.5","59.1","20.2","DXT5","512x512","/env/evergreen2/layers/evtrans01_albedo.dds"
"trtrans001","grass","tropical","1","52.9","24.1","11.5","39","62.6","39.3","DXT1","512x512","/env/tropical/layers/trtrans001_albedo.dds"
"farms001","grass","utility","1","53","12","10.2","52.4","57.3","32.8","DXT1","512x512","/env/utility/layers/farms001_albedo.dds"
"grass001","grass","evergreen","5","53.1","21.4","8.2","59.5","58.9","6.1","DXT1","512x512","/env/evergreen/layers/grass001_albedo.dds"
"grass","grass","MAP-LOCAL","1","54.9","7.4","5","58.3","60.7","16.3","DXT5","1024x1024","/maps/autumn.v0001/env/layers/grass_albedo.dds"
"evgrass003","grass","evergreen2","11","55.1","19","7.2","48.8","63.2","30.5","DXT1","512x512","/env/evergreen2/layers/evgrass003_albedo.dds"
"evgrass005","grass","evergreen2","40","55.8","9.4","4.2","55.2","61.3","29.1","DXT3","512x512","/env/evergreen2/layers/evgrass005_albedo.dds"
"tr_grasshills_albedo2","grass","MAP-LOCAL","1","55.8","7.7","3.9","28.9","71.2","47.6","DXT5","512x512","/maps/mystic_land.v0008/env/layers/tr_grasshills_albedo2.dds"
"tr_grasshills_albedo2","grass","MAP-LOCAL","1","55.8","7.7","3.9","28.9","71.2","47.6","DXT5","512x512","/maps/mystic_land.v0011/env/layers/tr_grasshills_albedo2.dds"
"trtrans005","grass","tropical","1","56","25.2","11.9","41.4","68.1","31.5","DXT1","512x512","/env/tropical/layers/trtrans005_albedo.dds"
"evgrass004","grass","evergreen2","27","56.1","12.9","5","52","63.9","26.4","DXT1","512x512","/env/evergreen2/layers/evgrass004_albedo.dds"
"grass_dark01","grass","MAP-LOCAL","1","58.7","11.9","6.9","58.1","65.1","27.3","DXT1","512x512","/maps/amoor.v0003/env/layers/grass_dark01.dds"
"evhostas001","grass","evergreen2","3","58.8","29.5","11.3","49.1","69.6","28.4","DXT1","512x512","/env/evergreen2/layers/evhostas001_albedo.dds"
"grass000","grass","evergreen","3","59.1","22.1","8.5","68","62.2","19.8","uncompressed","512x512","/env/evergreen/layers/grass000_albedo.dds"
"evgrass007","grass","evergreen2","14","60.7","14.9","5.5","59.9","66","35.2","DXT1","512x512","/env/evergreen2/layers/evgrass007_albedo.dds"
"none","grass","common","5","61.3","0","0","60","64","51","DXT5","512x512","/env/common/layers/none_albedo.dds"
"trgrass003","grass","tropical","1","62.1","30.2","11.8","38.3","79.3","35.6","DXT1","512x512","/env/tropical/layers/trgrass003_albedo.dds"
"trbush_moss","grass","tropical","1","62.8","33.9","12.3","45.4","78.1","29.8","DXT1","512x512","/env/tropical/layers/trbush_moss_albedo.dds"
"evgrass008","grass","evergreen2","8","63.7","18.4","7.1","61.1","70.6","35.3","DXT1","512x512","/env/evergreen2/layers/evgrass008_albedo.dds"
"evtrans03","grass","evergreen2","18","64.7","15.2","7.8","60.4","74.5","25.1","DXT1","512x512","/env/evergreen2/layers/evtrans03_albedo.dds"
"sak_grass1","grass","MAP-LOCAL","1","66.8","16.3","6.3","66.4","69.1","55.3","DXT1","512x512","/maps/gateway_and_rose.v0002/env/layers/sak_grass1.dds"
"trgrass006","grass","tropical","2","67.6","9.9","3.8","53","81.1","36.6","uncompressed","512x512","/env/tropical/layers/trgrass006_albedo.dds"
"trgrass004","grass","tropical","1","67.7","9.9","3.8","43.6","85.1","41.3","DXT1","512x512","/env/tropical/layers/trgrass004_albedo.dds"
"evgrass005a_albedo2","grass","MAP-LOCAL","1","68.2","9.2","3.2","16.8","95.9","60.3","DXT5","512x512","/maps/mystic_land.v0008/env/layers/evgrass005a_albedo2.dds"
"evgrass005a_albedo2","grass","MAP-LOCAL","1","68.2","9.2","3.2","16.8","95.9","60.3","DXT5","512x512","/maps/mystic_land.v0011/env/layers/evgrass005a_albedo2.dds"
"sw_creeper_01","grass","swamp","3","70.3","38.1","19","62.6","82.8","26.5","DXT1","512x512","/env/swamp/layers/sw_creeper_01_albedo.dds"
"sw_grass_01","grass","swamp","1","73.9","36","14.8","67.9","85","32.7","DXT1","512x512","/env/swamp/layers/sw_grass_01_albedo.dds"
"evgrass008_blue_tint","grass","MAP-LOCAL","1","75.5","10.9","4.3","57.3","77.4","113.4","DXT5","512x512","/maps/bluelands.v0002/env/layers/evgrass008_blue_tint.dds"
"sw_grass_03","grass","swamp","1","76.2","30.6","10.3","70.3","87.4","33.6","DXT1","512x512","/env/swamp/layers/sw_grass_03_albedo.dds"
"sak_grass3","grass","MAP-LOCAL","1","77.5","9.1","4","82.2","77.2","66.6","DXT1","512x512","/maps/gateway_and_rose.v0002/env/layers/sak_grass3.dds"
"sak_grass2","grass","MAP-LOCAL","1","81.2","9.5","3.9","89.6","82.1","54.8","DXT1","512x512","/maps/gateway_and_rose.v0002/env/layers/sak_grass2.dds"
"trgrass007","grass","tropical","3","89.5","29.4","11.3","74.5","101.7","65.9","DXT1","512x512","/env/tropical/layers/trgrass007_albedo.dds"
"sak_yg1","grass","MAP-LOCAL","1","90.1","10.7","5.4","98.4","91.9","59.2","DXT1","512x512","/maps/gateway_and_rose.v0002/env/layers/sak_yg1.dds"
"trtrans004","grass","tropical","1","96","32.8","28.3","91.1","102","78.3","DXT1","512x512","/env/tropical/layers/trtrans004_albedo.dds"
"tund_grass","grass","tundra","2","96.4","39.1","15.2","105.7","95.9","74.6","DXT1","512x512","/env/tundra/layers/tund_grass_albedo.dds"
"trtrans002","grass","tropical","2","100.6","31.7","20.6","90.4","110.2","77.9","DXT1","512x512","/env/tropical/layers/trtrans002_albedo.dds"
"jungle_floor_001_basecolor","grass","MAP-LOCAL","1","100.8","28.9","25.3","111.3","100.3","76","uncompressed","1024x1024","/maps/skellige.v0005/env/layers/jungle_floor_001_basecolor.dds"
"shallow","grass","common","1","108.8","97","93.8","73.3","124.2","122.4","DXT1","512x512","/env/common/layers/shallow_albedo.dds"
"mentor1","grass","MAP-LOCAL","1","145.8","28.6","12.9","158.4","151.1","85.6","DXT5","512x512","/maps/mentor.v0007/env/layers/mentor1.dds"
"mentor2","grass","MAP-LOCAL","1","154.4","21.5","9.6","165.6","154.5","124.1","DXT5","1024x1024","/maps/mentor.v0007/env/layers/mentor2.dds"
"lav_gravel","gravel","lava","14","19.5","10.3","3.8","20.3","19","20.2","DXT1","512x512","/env/lava/layers/lav_gravel_albedo.dds"
"eg_gravel002","gravel","evergreen2","6","41.9","23.4","9.1","42.7","42.9","34.7","DXT1","512x512","/env/evergreen2/layers/eg_gravel002_albedo.dds"
"eg_gravel","gravel","evergreen2","9","55.9","30.7","12","58.6","56.5","45.9","DXT1","512x512","/env/evergreen2/layers/eg_gravel_albedo.dds"
"eg_gravel01","gravel","evergreen2","7","55.9","30.7","12","58.6","56.5","45.9","DXT1","512x512","/env/evergreen2/layers/eg_gravel01_albedo.dds"
"eg_gravel2","gravel","evergreen2","5","55.9","30.7","12","58.6","56.5","45.9","DXT3","512x512","/env/evergreen2/layers/eg_gravel2_albedo.dds"
"rb_gravel01","gravel","red barrens","5","56.8","20.1","7.4","91.6","44.5","28.7","DXT1","512x512","/env/red barrens/layers/rb_gravel01_albedo.dds"
"tund_gravil","gravel","tundra","1","68","34.5","16.3","64.2","68.9","72.9","DXT3","512x512","/env/tundra/layers/tund_gravil_albedo.dds"
"eg_gravel003","gravel","evergreen2","6","80.2","44","17.2","84","81.1","65.9","DXT1","512x512","/env/evergreen2/layers/eg_gravel003_albedo.dds"
"des_gravel","gravel","desert","26","90.6","29.5","13.1","102.9","89","66.1","DXT5","512x512","/env/desert/layers/des_gravel_albedo.dds"
"des_gravel01","gravel","desert","32","94.8","22.9","8.6","107.7","93.1","69.3","DXT1","512x512","/env/desert/layers/des_gravel01_albedo.dds"
"pebblegravel","gravel","MAP-LOCAL","1","95.8","29","20","96.8","95.8","93.5","DXT5","1024x1024","/maps/adaptive_alpine_valley.v0003/env/layers/pebblegravel.dds"
"eg_gravel004","gravel","evergreen2","4","109.8","58.2","23.1","114.5","111.2","90.5","DXT1","512x512","/env/evergreen2/layers/eg_gravel004_albedo.dds"
"eg_gravel005","gravel","evergreen2","21","112.9","28.8","11.8","117.6","114.7","91.5","DXT1","512x512","/env/evergreen2/layers/eg_gravel005_albedo.dds"
"lav_ribbon01","lava","lava","3","20","6","4","20.8","18.8","24.1","DXT1","512x512","/env/lava/layers/lav_ribbon01_albedo.dds"
"lav_tech_wiers","lava","lava","3","30.9","28.6","20.6","58.1","18.2","25.3","DXT3","1024x1024","/env/lava/layers/lav_tech_wiers_albedo.dds"
"lav_ribbon","lava","lava","3","39.7","11.6","7.8","41.4","37.1","48.8","DXT5","512x512","/env/lava/layers/lav_ribbon_albedo.dds"
"lavarock","lava","paradise","2","44.2","23.8","12.3","43.5","45.2","40.9","DXT1","512x512","/env/paradise/layers/lavarock_albedo.dds"
"geo_lavadk_01","lava","geothermal","2","50.5","20.7","8.3","46.1","50.6","61.7","DXT1","512x512","/env/geothermal/layers/geo_lavadk_01_albedo.dds"
"geo_lavamd_02","lava","geothermal","7","59.9","19.1","11","50.3","62.8","70.5","DXT1","512x512","/env/geothermal/layers/geo_lavamd_02_albedo.dds"
"lav_lava01","lava","lava","10","66.4","22.5","16.6","203.1","9.7","0","DXT1","512x512","/env/lava/layers/lav_lava01_albedo.dds"
"lav_lava02","lava","lava","12","66.8","22.6","17.1","202","10.8","0.5","DXT5","512x512","/env/lava/layers/lav_lava02_albedo.dds"
"granular-colorful_darker","lava","MAP-LOCAL","1","79.7","27.7","12.8","145.6","46.6","77.6","DXT1","512x512","/maps/samurais_clutch_15x15.v0002/env/layers/granular-colorful_darker.dds"
"geo_lavamd_03","lava","geothermal","5","103.4","52","22.6","97.2","104.1","115.8","DXT1","512x512","/env/geothermal/layers/geo_lavamd_03_albedo.dds"
"geo_lavalt_01","lava","geothermal","3","105.5","41.6","18","103.4","104.3","117.1","DXT1","512x512","/env/geothermal/layers/geo_lavalt_01_albedo.dds"
"lav_rock10","rock","lava","4","6.1","7","4.3","6.4","5.6","8","DXT3","512x512","/env/lava/layers/lav_rock10_albedo.dds"
"trop_rock","rock","tropical","9","11.6","6.3","3.2","11.4","11.8","10.7","DXT1","512x512","/env/tropical/layers/trop_rock_albedo.dds"
"lav_rock01","rock","lava","3","14.2","11.7","8.8","17.2","12.3","16","DXT1","512x512","/env/lava/layers/lav_rock01_albedo.dds"
"lav_rock09","rock","lava","12","15","11.9","9","17.8","12.9","18.7","DXT5","512x512","/env/lava/layers/lav_rock09_albedo.dds"
"lav_rock07b","rock","lava","4","16.5","6.7","4","16.6","15.9","19.3","DXT1","512x512","/env/lava/layers/lav_rock07b_albedo.dds"
"lav_rock09b","rock","lava","10","16.8","12.5","9.5","17","16.6","17.7","DXT3","512x512","/env/lava/layers/lav_rock09b_albedo.dds"
"eg_rock","rock","evergreen2","10","19.3","22.8","12.4","23.6","18.1","14.4","DXT1","512x512","/env/evergreen2/layers/eg_rock_albedo.dds"
"darkerstone","rock","MAP-LOCAL","1","22.8","6.2","5.4","24.3","21.9","23.5","DXT1","1024x1024","/maps/adaptive_dust_survival.v0003/env/layers/darkerstone.dds"
"rock035_1k_color","rock","MAP-LOCAL","1","22.8","15.3","10.3","15.3","25.3","29","DXT1","1024x1024","/maps/frosted_isles.v0002/env/layers/rock035_1k_color.dds"
"lav_rock02","rock","lava","1","23","6.1","4.4","24.4","21.4","27.1","DXT1","512x512","/env/lava/layers/lav_rock02_albedo.dds"
"trrock005","rock","tropical","1","24.4","14.4","8.5","20.5","26.2","25.7","DXT1","512x512","/env/tropical/layers/trrock005_albedo.dds"
"lav_rock02b","rock","lava","3","24.6","6.6","4.8","23.4","24.7","27.6","DXT1","512x512","/env/lava/layers/lav_rock02b_albedo.dds"
"rb_rock","rock","red barrens","8","25.3","14.7","7.8","48.7","17.2","5.8","DXT1","512x512","/env/red barrens/layers/rb_rock_albedo.dds"
"lav_rock08","rock","lava","5","27.3","9.2","6.6","29.2","25.9","29.3","DXT1","512x512","/env/lava/layers/lav_rock08_albedo.dds"
"lav_rock03","rock","lava","7","28.3","13.9","10.8","30.1","26.6","32.2","DXT5","512x512","/env/lava/layers/lav_rock03_albedo.dds"
"lav_rock03b","rock","lava","5","29.5","14.5","11.2","29.9","28.8","32.2","DXT3","512x512","/env/lava/layers/lav_rock03b_albedo.dds"
