id,mass,sizex,sizez
uea0305,1680,1,1
ueb0101,240,5,5
ueb0102,210,5,5
ueb0103,300,12,14
ueb0201,800,5,5
ueb0202,630,5,5
ueb0203,1170,12,14
ueb0301,3150,5,5
ueb0302,3150,5,5
ueb0303,3150,12,14
ueb0304,3000,7,7
ueb1101,75,2,2
ueb1102,160,3,3
ueb1103,36,2,2
ueb1104,100,2,2
ueb1105,250,2,2
ueb1106,200,2,2
ueb1201,1200,3,3
ueb1202,900,2,2
ueb1301,3240,5,5
ueb1302,4600,2,2
ueb1303,3000,3,3
ueb2101,250,1,1
ueb2104,200,1,1
ueb2108,800,2,2
ueb2109,450,1,1
ueb2204,560,2,2
ueb2205,1080,2,2
ueb2301,540,1,1
ueb2302,90000,5,5
ueb2303,2520,1,1
ueb2304,800,2,2
ueb2305,15000,6,6
ueb2401,299700,5,5
ueb3101,80,1,1
ueb3102,64,1,1
ueb3104,2400,1,1
ueb3201,180,1,1
ueb3202,120,1,1
ueb4201,280,2,2
ueb4202,600,3,3
ueb4203,360,3,3
ueb4301,3000,3,3
ueb4302,7500,3,3
ueb5101,2,1,1
ueb5102,5,1,1
ueb5103,5,1,1
ueb5202,175,6,6
ueb5204,0,0,0
ueb5208,5,1,1
uec0001,158,0.5,0.5
uec1101,200,3,3
uec1201,5,3,3
uec1301,5,3,3
uec1401,100,5,5
uec1501,5,3,3
uec1901,5,20,20
uec1902,5,3,3
uec1903,5,4,5
uec1904,5,2,6
uec1905,5,2,4
uec1906,5,2,4
uec1907,5,2,4
uel0001,18000,0.6,0.6
uel0101,12,0.3,0.42
uel0103,36,0.4,0.4
uel0104,28,0.4,0.5
uel0105,52,0.55,0.4
uel0106,35,0.3,0.3
uel0111,200,0.6,0.4
uel0201,56,0.5,0.5
uel0202,198,0.65,0.5
uel0203,363,0.5,0.7
uel0205,160,0.5,0.5
uel0208,160,0.7,0.4
uel0301,9600,0.55,0.55
uel0303,480,0.55,0.5
uel0304,800,0.8,0.5
uel0307,120,0.6,0.4
uel0309,490,0.9,0.4
uel0401,28000,5,5.5
ues0103,260,2,6
ues0201,2250,2,8
ues0202,2000,2,9
ues0203,360,2,3
ues0302,9000,5,16
ues0304,10000,2,5
ues0305,400,2,2
ues0401,12000,6,22
ura0001,0,1,1
ura0101,40,1,1
ura0102,50,1,1
ura0103,80,1,1
ura0104,150,1,6
ura0107,80,1,4
ura0203,240,1,1
ura0204,240,1,1
ura0302,195,1,1
ura0303,400,1,1
ura0304,2100,1,1
ura0401,40000,5,6
urb0101,240,5,5
urb0102,210,5,5
urb0103,300,12,14
urb0201,800,5,5
urb0202,630,5,5
urb0203,1170,12,14
urb0301,3150,5,5
urb0302,3150,5,5
urb0303,3150,12,14
urb0304,3000,7,7
urb1101,75,2,2
urb1102,160,3,3
urb1103,36,2,2
urb1104,100,2,2
urb1105,250,2,2
urb1106,200,2,2
urb1201,1200,3,3
urb1202,900,2,2
urb1301,3240,5,5
urb1302,4600,2,2
urb1303,3000,3,3
urb2101,250,1,1
urb2104,200,1,1
urb2108,850,1,1
urb2109,450,1,1
urb2204,560,2,2
urb2205,1080,2,2
urb2301,480,1,1
urb2302,87000,5,5
urb2303,2240,2,2
urb2304,800,2,2
urb2305,15000,6,6
urb3101,80,1,1
urb3102,64,1,1
urb3103,32,1,1
urb3104,2400,1,1
urb3201,180,1,1
urb3202,120,1,1
urb4201,280,2,2
urb4202,160,1,1
urb4203,320,3,3
urb4204,300,1,1
urb4205,800,1,1
urb4206,1200,1,1
urb4207,2400,1,1
urb4302,7500,2,2
urb5101,2,1,1
urb5102,5,1,1
urb5103,5,1,1
urb5202,175,6,6
urb5204,0,1,1
urb5206,0,1,1
urc0001,158,0.5,0.5
urc1101,5,3,3
urc1201,125,3,3
urc1301,5,3,3
urc1302,5,3,3
urc1401,5,5,5
urc1501,250,3,3
urc1901,5,5,5
urc1902,5,3,3
url0001,18000,0.5,0.5
url0101,8,0.3,0.3
url0103,48,0.5,0.5
url0104,28,0.6,0.9
url0105,52,0.5,0.4
url0106,35,0.3,0.3
url0107,52,0.55,0.6
url0111,200,0.9,2
url0202,198,0.65,2
url0203,297,0.9,2
url0205,160,0.7,0.7
url0208,160,0.65,0.4
url0301,9000,0.45,0.45
url0303,480,0.55,0.5
url0304,800,1.25,1.5
url0306,80,0.5,2.5
url0309,490,0.8,0.4
url0401,299700,4.5,4.5
url0402,21000,6,6
urs0103,250,2,6
urs0201,2250,2,8
urs0202,2000,2,9
urs0203,360,2,3
urs0302,9000,5,16
urs0303,3600,5,17
urs0304,11000,2,5
urs0305,480,2,2
uxl0021,0,0.5,0.5
xaa0202,200,1,1
xaa0305,1200,1,1
xaa0306,1650,1,1
xab1401,250200,7,7
xab2307,270000,7,7
xab3301,3000,6,6
xac0101,5,0.75,2.5
xac1101,100,3,3
xac1401,500,5,5
xac2101,5,3,3
xac2201,5,3,3
xac2301,5,3,3
xac8001,5,3,3
xac8002,5,3,3
xac8003,5,3,3
xac8101,5,3,3
xac8102,5,3,3
xac8103,5,3,3
xal0203,220,0.6,0.95
xal0305,800,0.5,0.5
xas0204,1100,2,3
xas0306,8000,5,16
xea0002,800,1,1
xea0306,1400,1,6
xea3204,250,0.3,0.3
xeb0104,550,1,1
xeb0204,500,1,1
xeb2306,1800,1,1
xeb2402,37200,6,6
xec1301,634,3,3
xec1401,5,3,3
xec1501,5,3,3
xec1908,5,3,3
xec1909,5,3,3
xec8001,5,3,3
xec8002,5,3,3
xec8003,5,3,3
xec8004,5,3,3
xec8005,5,3,3
xec8006,5,3,3
xec8007,5,3,3
xec8008,5,3,3
xec8009,5,3,3
xec8010,5,3,3
xec8011,5,3,3
xec8012,5,3,3
xec8013,5,3,3
xec8014,5,3,3
xec8015,5,3,3
xec8016,5,3,3
xec8017,5,3,3
xec8018,5,3,3
xec8019,5,3,3
xec8020,5,3,3
xec9001,2,3,3
xec9002,2,3,3
xec9003,2,3,3
xec9004,2,3,3
xec9005,2,3,3
xec9006,2,3,3
xec9007,2,3,3
xec9008,2,3,3
xec9009,2,3,3
xec9010,2,3,3
xec9011,2,3,3
xel0209,225,0.7,0.4
xel0305,1280,0.55,0.5
xel0306,400,1.3,1
xes0102,900,2,6
xes0205,1300,2,6
xes0307,6000,5,16
xra0105,200,1,1
xra0305,1680,1,1
xrb0104,500,1,1
xrb0204,240,1,1
xrb0304,240,1,1
xrb2308,3000,2,2
xrb3301,4800,5,5
xrc1101,5,3,3
xrc1502,100,3,3
xrc2101,5,3,3
xrc2201,5,3,3
xrc2301,5,3,3
xrc2401,5,3,3
xrc8001,5,3,3
xrc8002,5,3,3
xrc8003,5,3,3
xrc8004,5,3,3
xrc8005,5,3,3
xrc8006,5,3,3
xrc8007,5,3,3
xrc8008,5,3,3
xrc8009,5,3,3
xrc8010,5,3,3
xrc8011,5,3,3
xrc8012,5,3,3
xrc8013,5,3,3
xrc8014,5,3,3
xrc8015,5,3,3
xrc8016,5,3,3
xrc8017,5,3,3
xrc8018,5,3,3
xrc8019,5,3,3
xrc8020,5,3,3
xrc8101,5,3,3
xrc8102,5,3,3
xrc8103,5,3,3
xrc8104,5,3,3
xrc8105,5,3,3
xrc8106,5,3,3
xrc8107,5,3,3
xrc8108,5,3,3
xrc8109,5,3,3
xrc8110,5,3,3
xrc8111,5,3,3
xrc8112,5,3,3
xrc8113,5,3,3
xrc8114,5,3,3
xrc8115,5,3,3
xrc8116,5,3,3
xrc8117,5,3,3
xrc8118,5,3,3
xrc8119,5,3,3
xrc8120,5,3,3
xrl0002,561,1,1
xrl0003,1280,1,1
xrl0004,160,1,1
xrl0005,800,1,1
xrl0302,300,0.35,0.45
xrl0305,1280,0.9,0.9
xrl0403,37500,9,9
xro4001,1000,0.3,0.3
xrs0204,1100,2,3
xrs0205,600,2,6
xsa0101,40,1,1
xsa0102,50,1,1
xsa0103,80,1,1
xsa0104,150,3,5
xsa0107,80,1,4
xsa0202,420,1,1
xsa0203,240,1,1
xsa0204,240,1,1
xsa0302,195,1,1
xsa0303,400,1,1
xsa0304,2100,1,1
xsa0402,48000,13,13
xsb0101,240,5,5
xsb0102,210,5,5
xsb0103,300,12,14
xsb0201,800,5,5
xsb0202,630,5,5
xsb0203,1170,12,14
xsb0301,3150,5,5
xsb0302,3150,5,5
xsb0303,3150,12,14
xsb0304,3000,7,7
xsb1101,75,2,2
xsb1102,160,3,3
xsb1103,36,2,2
xsb1104,100,2,2
xsb1105,250,2,2
xsb1106,200,1,1
xsb1201,1200,3,3
xsb1202,900,2,2
xsb1301,3240,5,5
xsb1302,4600,2,2
xsb1303,3000,3,3
xsb2101,250,1,1
xsb2104,200,1,1
xsb2108,825,1,1
xsb2109,450,1,1
xsb2204,560,2,2
xsb2205,1080,2,2
xsb2301,528,1,1
xsb2302,88500,5,5
xsb2303,2660,2,2
xsb2304,800,2,2
xsb2305,15000,3,3
xsb2401,250200,5,5
xsb3101,80,1,1
xsb3102,64,1,1
xsb3104,2400,1,1
xsb3201,180,1,1
xsb3202,180,1,1
xsb4201,280,2,2
xsb4202,700,3,3
xsb4203,378,3,3
xsb4301,3600,3,3
xsb4302,7500,3,3
xsb5101,2,1,1
xsb5102,5,1,1
xsb5202,175,6,6
xsc0001,5,3,3
xsc1101,100,3,3
xsc1201,150,3,3
xsc1301,5,3,3
xsc1401,200,3,3
xsc1501,250,3,3
xsc1601,5,3,3
xsc1701,5,3,3
xsc1901,5,6,6
xsc1902,5,3,3
xsc2201,900,3,3
xsc8001,5,3,3
xsc8002,5,3,3
xsc8003,5,3,3
xsc8004,5,3,3
xsc8005,5,3,3
xsc8006,5,3,3
xsc8007,5,3,3
xsc8008,5,3,3
xsc8009,5,3,3
xsc8010,5,3,3
xsc8011,5,3,3
xsc8012,5,3,3
xsc8013,5,3,3
xsc8014,5,3,3
xsc8015,5,3,3
xsc8016,5,3,3
xsc8017,5,3,3
xsc8018,5,3,3
xsc8019,5,3,3
xsc8020,5,3,3
xsc9002,5,3,3
xsc9010,5,0,0
xsc9011,16,0.55,0.45
xsl0001,18000,0.5,0.5
xsl0101,20,0.3,0.3
xsl0103,54,0.35,0.5
xsl0104,28,0.35,0.45
xsl0105,52,0.4,0.4
xsl0111,200,1,2
xsl0201,54,0.8,0.7
xsl0202,360,0.55,0.5
xsl0203,220,0.5,0.8
xsl0205,160,0.5,0.8
xsl0208,160,0.5,0.5
xsl0301,9300,0.45,0.45
xsl0303,840,0.5,2
xsl0304,800,0.85,1
xsl0305,800,0.45,0.9
xsl0307,640,0.5,0.7
xsl0309,490,0.5,0.6
xsl0401,25000,1.7,1.7
xsl0402,1,0.3,0.3
xss0103,270,2,6
xss0201,2250,2,8
xss0202,2000,2,9
xss0203,360,2,3
xss0302,9000,5,16
xss0303,4400,5,17
xss0304,3000,2,5
