"Texture","Instances"
"/env/swamp/decals/cliffy001_normals.dds","1039"
"/env/common/decals/rock011_normals.dds","1036"
"/env/common/decals/erosion002_normals.dds","1032"
"/env/evergreen2/decals/eg_boulder007_albedo.dds","1021"
"/env/tropical/decals/trrawground03_albedo.dds","983"
"/env/common/decals/lowshore013_normals.dds","973"
"/env/common/decals/altashore001_normals.dds","933"
"/env/swamp/decals/cliffy002_normals.dds","930"
"/env/common/decals/altashore002_normals.dds","899"
"/env/evergreen2/decals/eg_scatterstones003_albedo.dds","887"
"/env/evergreen/decals/p_bm002_normals.dds","874"
"/env/tropical/decals/trrawground01_albedo.dds","869"
"/env/common/decals/rock008_normals.dds","826"
"/env/common/decals/rock010_normals.dds","814"
"/env/tropical/decals/tr_coral002_albedo.dds","812"
"/env/tropical/decals/choral04-b_albedo.dds","808"
"/env/evergreen2/decals/eg_patchcool001_albedo.dds","804"
"/env/tropical/decals/trrockage001_albedo.dds","802"
"/env/evergreen2/decals/eg_bush011a_albedo.dds","794"
"/env/common/decals/erosion015_normals.dds","773"
"/env/common/decals/rock006_normals.dds","757"
"/env/crystalline/decals/cryst018_normals.dds","742"
"/env/evergreen/decals/e_mud004_albedo.dds","728"
"/env/swamp/decals/sw_flotsam01_albedo.dds","716"
"/env/tropical/decals/choral04_albedo.dds","702"
"/env/common/decals/cliff01_normals.dds","700"
"/env/common/decals/cliff06_normals.dds","695"
"/env/tropical/decals/tr_coral_albedo.dds","686"
"/env/common/decals/lowshore012_normals.dds","678"
"/env/tundra/decals/tund_rockground_normals.dds","664"
"/env/tundra/decals/tund_rockground_albedo.dds","662"
"/env/common/decals/tidemark03_normals.dds","658"
"/env/common/decals/int006_normals.dds","652"
"/env/common/decals/erosion013_normals.dds","643"
"/env/desert/decals/des_rock05_albedo.dds","640"
"/env/common/decals/peaks004_normals.dds","635"
"/env/tundra/decals/tund_rock009_albedo.dds","632"
"/env/common/decals/int001_normals.dds","627"
"/env/common/decals/tidemark04_normals.dds","621"
"/env/common/decals/lowshore014_normals.dds","610"
"/env/evergreen2/decals/eg_boulder005_albedo.dds","600"
"/env/tundra/decals/tund_cliff002_albedo.dds","598"
"/env/desert/decals/des_rockground3_normals.dds","578"
"/env/common/decals/int007_normals.dds","577"
"/env/common/decals/cliff02_normals.dds","568"
"/env/evergreen2/decals/eg_mudder05_albedo.dds","567"
"/env/common/decals/erosion006_normals.dds","562"
"/env/common/decals/rock001_normals.dds","560"
"/env/common/decals/peaks007_normals.dds","559"
"/env/evergreen2/decals/eg_mudder01_albedo.dds","556"
"/env/tropical/decals/tr_mud004_albedo.dds","554"
"/env/red barrens/decals/rb_rock01_albedo.dds","548"
"/env/evergreen2/decals/eg_boulder006_albedo.dds","545"
"/env/evergreen2/decals/eg_patchwarm001_albedo.dds","544"
"/env/geothermal/decals/scum001_albedo.dds","543"
"/env/common/decals/rock004_normals.dds","537"
"/env/common/decals/rock005_normals.dds","534"
"/env/common/decals/rock003_normals.dds","527"
"/env/evergreen/decals/p_bm004_albedo.dds","520"
"/env/tropical/decals/trbush010_albedo.dds","512"
"/env/common/decals/erosion022_normals.dds","510"
"/env/lava/decals/lav_lavarock07_albedo.dds","495"
"/env/lava/decals/lav_lavarock06_albedo.dds","494"
"/env/common/decals/rock002_normals.dds","490"
"/env/common/decals/erosion019_normals.dds","490"
"/env/evergreen2/decals/eg_slide004_normals.dds","490"
"/env/common/decals/peaks008_normals.dds","486"
"/env/evergreen2/decals/eg_ground003_albedo.dds","485"
"/env/common/decals/erosion000_normals.dds","483"
"/env/tundra/decals/tund_rock005_albedo.dds","471"
"/env/common/decals/noise004_normals.dds","470"
"/env/geothermal/decals/crater08_normals.dds","459"
"/env/swamp/decals/cliffy003_normals.dds","454"
"/env/tundra/decals/tund_rock016_albedo.dds","452"
"/env/common/decals/int002_normals.dds","449"
"/env/evergreen2/decals/eg_path002_albedo.dds","444"
"/env/tundra/decals/tund_crack002_albedo.dds","442"
"/env/common/decals/river002_normals.dds","438"
"/env/evergreen2/decals/eg_bush011_albedo.dds","433"
"/env/tropical/decals/choral05_albedo.dds","432"
"/env/geothermal/decals/gt_noise02_normals.dds","432"
"/env/common/decals/erosion012a_normals.dds","418"
"/env/evergreen2/decals/eg_patchdry002_albedo.dds","413"
"/env/common/decals/erosion014a_normals.dds","409"
"/env/common/decals/scorch_mark_albedo.dds","409"
"/env/tundra/decals/tund_crack004_albedo.dds","403"
"/env/common/decals/hook001_normals.dds","403"
"/env/geothermal/decals/scum003_albedo.dds","384"
"/env/evergreen2/decals/eg_path001_normals.dds","381"
"/env/common/decals/cliff03_normals.dds","380"
"/env/evergreen2/decals/eg_path001_albedo.dds","372"
"/env/geothermal/decals/crater_02_normals.dds","360"
"/env/common/decals/peaks005_normals.dds","360"
"/env/evergreen2/decals/eg_tracks01_albedo.dds","359"
"/env/tundra/decals/tund_scratch01_normals.dds","359"
"/env/tundra/decals/tund_rock002_albedo.dds","357"
"/env/tropical/decals/choral01-b_albedo.dds","356"
"/env/common/decals/erosion005_normals.dds","353"
"/env/tropical/decals/choral01_albedo.dds","335"
"/env/common/decals/erosion008_normals.dds","332"
"/env/geothermal/decals/crater03_normals.dds","324"
"/env/evergreen/decals/e_mud001_albedo.dds","318"
"/env/common/decals/lowshore011_normals.dds","310"
"/env/swamp/decals/lillypads01_albedo.dds","310"
"/env/common/decals/int005_normals.dds","307"
"/env/common/decals/erosion004_normals.dds","305"
"/env/common/decals/lowshore010_normals.dds","303"
"/env/desert/decals/des_boulder007_albedo.dds","297"
"/env/evergreen/decals/e_dl001_albedo.dds","297"
"/env/evergreen2/decals/eg_kelp002_albedo.dds","293"
"/env/desert/decals/drycreek01lt_normals.dds","292"
"/env/lava/decals/lav_lavarock05_albedo.dds","291"
"/env/desert/decals/des_boulder011_albedo.dds","287"
"/env/lava/decals/lav_lavarock03_albedo.dds","282"
"/env/swamp/decals/mudhole001_albedo.dds","282"
"/env/evergreen2/decals/eg_slide001_normals.dds","277"
"/maps/theta_passage_-_faf_version.v0001/flop_and_rotate_90/env/red barrens/decals/rb_rockground2_albedo.dds","277"
"/env/desert/decals/des_boulder008_albedo.dds","276"
"/env/evergreen2/decals/eg_boulder007_2_albedo.dds","275"
"/env/common/decals/int008_normals.dds","270"
"/env/common/decals/waves002_normals.dds","269"
"/env/common/decals/int004_normals.dds","269"
"/env/desert/decals/drycreek02_normals.dds","267"
"/env/tropical/decals/choral03_albedo.dds","263"
"/env/desert/decals/des_rockground2_albedo.dds","258"
"/env/common/decals/tarmacs/tar12x_01_albedo.dds","247"
"/env/desert/decals/des_rockground_albedo.dds","247"
"/env/common/decals/tarmacs/tar8x_01_albedo.dds","240"
"/env/evergreen2/decals/eg_slide001_albedo.dds","240"
"/env/common/decals/lowshore005_normals.dds","240"
"/env/common/decals/crater_radial01_normals.dds","238"
"/env/geothermal/decals/gt_noise01_normals.dds","237"
"/env/common/decals/erosion010_normals.dds","237"
"/env/tundra/decals/tund_rockground2_albedo.dds","236"
"/env/desert/decals/drake _normals.dds","234"
"/env/desert/decals/des_rockground2_normals.dds","234"
"/env/desert/decals/drycreek02lt_normals.dds","232"
"/env/geothermal/decals/crater09_normals.dds","230"
"/env/desert/decals/des_cliff01_albedo.dds","228"
"/env/common/decals/lowshore015_normals.dds","227"
"/env/tundra/decals/tund_rock017_albedo.dds","226"
"/env/crystalline/decals/scx1_proto01_crev02b_albedo.dds","225"
"/env/evergreen/decals/e_bush003_albedo.dds","224"
"/env/desert/decals/drycreek03lt_normals.dds","223"
"/env/common/decals/lagunashore_normals.dds","221"
"/env/tropical/decals/choral02-b_albedo.dds","220"
"/env/tropical/decals/tr_boulder006_albedo.dds","216"
"/env/evergreen/decals/e_tatr008a_albedo.dds","215"
"/env/common/decals/int009_normals.dds","214"
"/env/tundra/decals/tund_cliff003_albedo.dds","209"
"/env/evergreen2/decals/eg_bush008a_albedo.dds","205"
"/env/evergreen2/decals/eg_slide002_normals.dds","200"
"/env/tundra/decals/tund_avalanche01_normals.dds","200"
"/env/evergreen2/decals/eg_kelp003_albedo.dds","199"
"/env/lava/decals/lav_lavarock01_albedo.dds","199"
"/env/evergreen2/decals/eg_mudder04_albedo.dds","198"
"/env/common/decals/shoreline/turbulance03_albedo.dds","197"
"/env/geothermal/decals/crater04_normals.dds","196"
"/env/evergreen2/decals/eg_bush010_albedo.dds","191"
"/env/desert/decals/des_river003_normals.dds","186"
"/env/common/decals/erosion009_normals.dds","182"
"/env/evergreen2/decals/eg_tracks02_albedo.dds","182"
"/env/common/decals/lowshore010a_normals.dds","179"
"/env/geothermal/decals/crater07_normals.dds","173"
"/env/swamp/decals/mudhole002_albedo.dds","170"
"/env/uef/decals/uef_road2_2_albedo.dds","170"
"/env/tundra/decals/tund_ashedge01_norm_albedo.dds","168"
"/env/common/decals/snow001_normals.dds","167"
"/env/evergreen2/decals/eg_boulder004_albedo.dds","167"
"/env/utility/decals/treadmarks04_albedo.dds","164"
"/env/common/decals/lowshore002_normals.dds","164"
"/env/evergreen2/decals/eg_boulder001_albedo.dds","164"
"/env/lava/decals/lav_lavarock02_albedo.dds","163"
"/env/common/decals/noise003_normals.dds","162"
"/env/evergreen2/decals/eg_bush008_albedo.dds","160"
"/env/lava/decals/lav_tidemark05_normals.dds","159"
"/env/crystalline/decals/crys_surface01_normals.dds","158"
"/env/tundra/decals/tund_sandpatch_albedo.dds","157"
"/env/tropical/decals/trbush_b010_albedo.dds","156"
"/env/tropical/decals/choral02_albedo.dds","153"
"/env/common/decals/lowshore003_normals.dds","152"
"/env/tundra/decals/tund_crack001_albedo.dds","150"
"/env/crystalline/decals/crys_surface01_spec.dds","148"
"/env/common/decals/crater05_normals.dds","146"
"/env/crystalline/decals/crystcrack01_albedo.dds","144"
"/env/evergreen2/decals/eg_bush009a_albedo.dds","143"
"/env/tropical/decals/trbush008_albedo.dds","142"
"/env/desert/decals/des_cliff02_albedo.dds","142"
"/env/uef/decals/uef_road2_fade_albedo.dds","142"
"/env/swamp/decals/sw001_normals.dds","141"
"/env/crystalline/decals/scx1_proto01_crev01b_albedo.dds","139"
"/env/tropical/decals/trrockage008_albedo.dds","138"
"/env/tundra/decals/tund_cliff004_albedo.dds","138"
"/env/evergreen2/decals/eg_bush009_albedo.dds","137"
"/env/geothermal/decals/crater05_normals.dds","137"
"/env/tropical/decals/choral03-b_albedo.dds","132"
"/env/geothermal/decals/crater_01_normals.dds","131"
"/env/desert/decals/des_treadmarkst03_albedo.dds","127"
"/env/evergreen/decals/e_mud003_albedo.dds","127"
"/env/evergreen2/decals/eg_slide003_normals.dds","127"
"/env/tropical/decals/scorch_tropical_001_normals.dds","126"
"/env/evergreen2/decals/eg_path002_normals.dds","125"
"/env/evergreen2/decals/eg_bush010a_albedo.dds","123"
"/env/geothermal/decals/crater06_normals.dds","123"
"/env/common/decals/erosion011c_normals.dds","123"
"/env/lava/decals/lav_lava_cracks12dkb_albedo.dds","120"
"/env/lava/decals/lav_tidemark01_normals.dds","119"
"/maps/eonnacia.v0033/env/decals/crys_surface01_albedo4.dds","118"
"/env/tundra/decals/tund_rock006_albedo.dds","117"
"/env/utility/decals/roads001_albedo.dds","116"
"/env/common/decals/erosion011b_normals.dds","116"
"/env/evergreen2/decals/eg_boulder002_albedo.dds","116"
"/env/common/decals/lowshore008_normals.dds","116"
"/env/common/decals/river001_normals.dds","115"
"/env/crystalline/decals/scx1_proto01_crev05b_albedo.dds","115"
"/env/tundra/decals/ice21_albedo.dds","114"
"/env/common/decals/river_normals.dds","114"
"/env/tundra/decals/tund_ashedge02_norm_albedo.dds","114"
"/env/tundra/decals/ice23_albedo.dds","112"
"/env/evergreen/decals/e_tatr008_albedo.dds","111"
"/env/tundra/decals/tund_avalanche02_normals.dds","111"
"/env/geothermal/decals/interior02_normals.dds","109"
"/env/evergreen/decals/p_bm006_normals.dds","107"
"/env/evergreen2/decals/eg_trans001_albedo.dds","106"
"/env/common/decals/peak001_normals.dds","105"
"/env/evergreen2/decals/eg_trans003_albedo.dds","105"
"/env/crystalline/decals/scx1_proto01_crev04b_albedo.dds","105"
"/env/evergreen2/decals/eg_tracks05_albedo.dds","103"
"/env/lava/decals/lav_lava_cracks09_albedo.dds","100"
"/env/desert/decals/des_boulder005_albedo.dds","100"
"/env/common/decals/lowshore007_normals.dds","99"
"/env/common/decals/mud001_normals.dds","98"
"/env/desert/decals/des_river002_normals.dds","98"
"/env/desert/decals/drycreek03_normals.dds","98"
"/env/common/decals/river004_normals.dds","97"
"/env/common/decals/lowshore004_normals.dds","97"
"/env/lava/decals/lav_tidemark02_normals.dds","96"
"/env/tundra/decals/tund_avalanche03_normals.dds","95"
"/env/common/decals/erosion011a_normals.dds","95"
"/env/geothermal/decals/scum002_albedo.dds","95"
"/env/desert/decals/drycreek01_normals.dds","94"
"/env/common/decals/shoreline/turbulance04_albedo.dds","93"
"/env/common/decals/lowshore016_normals.dds","93"
"/env/utility/decals/treadmarks10_albedo.dds","93"
"/env/swamp/decals/muddetail01_albedo.dds","92"
"/env/tropical/decals/scorch_tropical_002_normals.dds","92"
"/env/uef/decals/uef_road2_albedo.dds","92"
"/env/uef/decals/uef_road2_2_fadealbedo.dds","91"
"/env/crystalline/decals/cryst014_normals.dds","91"
"/env/crystalline/decals/cryst008_normals.dds","91"
"/env/evergreen2/decals/eg_patchdry001b_albedo.dds","91"
"/env/common/decals/scorch_003_albedo.dds","90"
"/env/utility/decals/treadmarks08_albedo.dds","90"
"/env/evergreen2/decals/eg_tracks04_albedo.dds","89"
"/env/evergreen2/decals/eg_kelp001_albedo.dds","88"
"/maps/amoor.v0003/env/decals/ground\rock_island2_aut.dds","88"
"/env/tropical/decals/trbush_b007_albedo.dds","87"
"/env/evergreen2/decals/ev_coral002_albedo.dds","84"
"/env/tropical/decals/trrockage003_albedo.dds","84"
"/maps/theta_passage_-_faf_version.v0001/flop_and_rotate_90/env/evergreen/decals/p_bm002_normals.dds","84"
"/env/crystalline/decals/scx1_proto01_crev06b_albedo.dds","83"
"/env/common/decals/mud002_normals.dds","81"
"/env/evergreen2/decals/eg_bush001_albedo.dds","80"
"/env/common/decals/lowshore006_normals.dds","78"
"/env/desert/decals/des_boulder009_albedo.dds","77"
"/env/evergreen2/decals/eg_edge01_normals.dds","76"
"/env/common/decals/dune001_normals.dds","75"
"/env/geothermal/decals/interior01_normals.dds","74"
"/env/lava/decals/lav_lava_line2_albedo.dds","72"
"/env/evergreen2/decals/eg_boulder003_albedo.dds","72"
"/env/lava/decals/lav_lava_line_end2_albedo.dds","71"
"/env/tundra/decals/ice06_albedo.dds","70"
"/env/tundra/decals/tund_rockground2_normals.dds","70"
"/env/desert/decals/des_rockground_normals.dds","69"
"/env/swamp/decals/sw002_normals.dds","67"
"/env/geothermal/decals/mudsplats01_albedo.dds","66"
"/env/red barrens/decals/rb_treadmarkcu01_albedo.dds","65"
"/env/evergreen2/decals/eg_trans004_albedo.dds","64"
"/env/red barrens/decals/rb_treadmarkst03_albedo.dds","63"
"/env/lava/decals/lav_lavarock04_albedo.dds","62"
"/env/lava/decals/lav_lava_cracks06_albedo.dds","61"
"/env/evergreen2/decals/eg_trans002_albedo.dds","60"
"/env/common/decals/noise_normals.dds","60"
"/env/tundra/decals/ice010_albedo.dds","60"
"/env/evergreen2/decals/eg_mudder02_albedo.dds","59"
"/env/desert/decals/des_treadmarkcu01_albedo.dds","57"
"/env/evergreen2/decals/eg_tracks06_albedo.dds","56"
"/env/evergreen2/decals/eg_edge03_normals.dds","56"
"/env/tundra/decals/tund_rock_albedo.dds","53"
"/env/tundra/decals/tund_ashedge03_norm_albedo.dds","53"
"/env/geothermal/decals/mudsplats02_albedo.dds","53"
"/env/utility/decals/treadmarks12_albedo.dds","53"
"/env/utility/decals/treadmarks03_albedo.dds","52"
"/env/tundra/decals/tund_rock014_albedo.dds","50"
"/env/tropical/decals/trthatch009_albedo.dds","50"
"/env/desert/decals/drycreek05_normals.dds","50"
"/env/common/decals/crater01_normals.dds","50"
"/env/crystalline/decals/scx1_proto01_crev03b_albedo.dds","49"
"/env/tundra/decals/tund_rock015_albedo.dds","47"
"/env/evergreen2/decals/eg_slide002_albedo.dds","46"
"/env/lava/decals/lav_lava_cracks12b_albedo.dds","46"
"/env/utility/decals/treadmarks05_albedo.dds","45"
"/env/utility/decals/treadmarks06_albedo.dds","45"
"/env/uef/decals/uef_road2c_albedo.dds","44"
"/env/tundra/decals/tund_tundra_02_albedo.dds","44"
"/env/common/decals/desbushes02_albedo.dds","44"
"/env/desert/decals/des_treadmarknd02_albedo.dds","44"
"/env/geothermal/decals/geo_treadmark_x05_albedo.dds","42"
"/env/tropical/decals/trrawground05_albedo.dds","42"
"/env/red barrens/decals/rb_treadmarknd02_albedo.dds","41"
"/env/evergreen/decals/e_mud002_albedo.dds","41"
"/env/uef/decals/uef_road2c2_albedo.dds","41"
"/env/red barrens/decals/rb_cliff03_albedo.dds","40"
"/env/evergreen2/decals/eg_palace_walkway_02_albedo.dds","40"
"/env/tundra/decals/ice07_albedo.dds","40"
"/env/lava/decals/lav_lava_cracks14b_albedo.dds","40"
"/env/lava/decals/lav_hightide02_albedo.dds","40"
"/env/geothermal/decals/geo_treadmark_x11_albedo.dds","40"
"/env/evergreen2/decals/eg_tracks03_albedo.dds","40"
"/env/swamp/decals/sw003_normals.dds","39"
"/env/geothermal/decals/corner01_normals.dds","39"
"/env/lava/decals/lav_lava_cracks05_albedo.dds","39"
"/env/evergreen2/decals/eg_boulder008_2_albedo.dds","38"
"/env/red barrens/decals/rb_rock02_albedo.dds","38"
"/env/lava/decals/lav_lava_cracks10b_albedo.dds","38"
"/env/geothermal/decals/geo_treadmark_st01_albedo.dds","38"
"/env/common/decals/tarmacs/tar8x_cybran_01_albedo.dds","37"
"/env/tundra/decals/ice11_albedo.dds","36"
"/env/lava/decals/lav_lava_cracks13b_albedo.dds","36"
"/env/seraphim ii/decals/seraphim ii_pebbles_normal.dds","36"
"/maps/amoor.v0003/env/decals/ground\rock_island1b_aut.dds","36"
"/env/tundra/decals/tund_rock013_albedo.dds","36"
"/env/common/decals/layers001_normals.dds","35"
"/env/tundra/decals/tund_rock010_albedo.dds","35"
"/env/common/decals/scorch_002_albedo.dds","35"
"/env/lava/decals/lav_lava_cracks07_albedo.dds","35"
"/env/common/decals/tarmacs/tar12x_cybran_01_albedo.dds","35"
"/env/common/decals/crater01_albedo.dds","35"
"/env/desert/decals/drycreek05lt_normals.dds","35"
"/env/evergreen2/decals/eg_patchdry002b_albedo.dds","34"
"/env/evergreen2/decals/ev_coral_albedo.dds","34"
"/env/common/decals/scorch_005_albedo.dds","34"
"/env/swamp/decals/sw_scum01_albedo.dds","34"
"/env/desert/decals/drycreek06lt_normals.dds","34"
"/env/utility/decals/treadmarks11_albedo.dds","34"
"/env/common/decals/scorch_001_albedo.dds","34"
"/env/common/decals/tarmacs/tar6x_01_albedo.dds","33"
"/env/common/decals/erosion011_normals.dds","33"
"/env/geothermal/decals/geo_treadmark_st04_albedo.dds","32"
"/env/desert/decals/des_boulder006_albedo.dds","32"
"/env/common/decals/scorch_007_albedo.dds","31"
"/env/common/decals/erosion003_normals.dds","31"
"/maps/amoor.v0003/env/decals/destroy\crack3#1.dds","30"
"/env/desert/decals/des_swirl01_albedo.dds","30"
"/env/common/decals/lowshore001_normals.dds","30"
"/env/desert/decals/des_treadmarknd01_albedo.dds","30"
"/env/geothermal/decals/geo_treadmark_cu02_albedo.dds","29"
"/env/tundra/decals/ice22_albedo.dds","28"
"/env/swamp/decals/mudhole003_albedo.dds","28"
"/env/tundra/decals/tund_tundra_02_spec.dds","28"
"/env/evergreen2/decals/eg_trans006_albedo.dds","28"
"/env/desert/decals/drycreek06_normals.dds","28"
"/env/geothermal/decals/cone_01_normals.dds","27"
"/env/evergreen/decals/e_tatr007_albedo.dds","27"
"/env/lava/decals/lav_hightide01_albedo.dds","27"
"/env/evergreen/decals/e_tatr003a_albedo.dds","27"
"/env/desert/decals/des_treadmarknd03_albedo.dds","27"
"/env/swamp/decals/mudhole005_albedo.dds","26"
"/env/red barrens/decals/rb_treadmarkcu02_albedo.dds","26"
"/env/lava/decals/lav_hightide03_albedo.dds","26"
"/env/evergreen2/decals/eg_bush004_albedo.dds","25"
"/env/utility/decals/treadmarks01_albedo.dds","25"
"/env/desert/decals/des_treadmarkst01_albedo.dds","24"
"/env/evergreen2/decals/eg_edge02_normals.dds","24"
"/env/desert/decals/des_swirl02_albedo.dds","24"
"/env/common/decals/tarmacs/tar6x_cybran_01_albedo.dds","24"
"/env/tropical/decals/tr_boulder007_albedo.dds","24"
"/env/tropical/decals/trrockage005_albedo.dds","24"
"/env/tropical/decals/trbush005_albedo.dds","24"
"/env/utility/decals/treadmarks02_albedo.dds","24"
"/env/red barrens/decals/rb_treadmarkst02_albedo.dds","23"
"/env/swamp/decals/pile002_normals.dds","22"
"/env/utility/decals/roads002_albedo.dds","22"
"/env/evergreen/decals/p_bm002_albedo.dds","22"
"/env/lava/decals/lav_lava_crack_lg02b_albedo.dds","22"
"/maps/theta_passage_-_faf_version.v0001/flop_and_rotate_90/env/common/decals/erosion018_normals.dds","22"
"/env/evergreen2/decals/eg_bush003_albedo.dds","22"
"/env/common/decals/scorch_008_albedo.dds","22"
"/env/geothermal/decals/geo_treadmark_nd02_albedo.dds","22"
"/env/common/decals/cliff_normals.dds","21"
"/env/tropical/decals/trrawground02_albedo.dds","21"
"/env/geothermal/decals/scum004_albedo.dds","21"
"/env/desert/decals/drycreek04lt_normals.dds","21"
"/env/desert/decals/des_treadmarkcu02_albedo.dds","21"
"/env/lava/decals/lav_lava_cracks08_albedo.dds","21"
"/env/tundra/decals/scorch_tund_008_albedo.dds","21"
"/env/geothermal/decals/geo_treadmark_st05_albedo.dds","21"
"/env/common/decals/egbushes_albedo.dds","21"
"/env/common/decals/scorch_009_albedo.dds","20"
"/env/tundra/decals/scorch_tund_003_albedo.dds","20"
"/env/seraphim ii/decals/seraphim ii_mountain7_normal.dds","20"
"/env/lava/decals/lav_lava_line_end_albedo.dds","20"
"/env/common/decals/scorch_generic_009_albedo.dds","20"
"/env/uef/decals/uef_road_albedo.dds","20"
"/env/common/decals/shoreline/turbulance_albedo.dds","20"
"/env/lava/decals/lav_tech_wierz_2_albedo.dds","19"
"/env/lava/decals/lav_lava_cracks09b2_albedo.dds","19"
"/env/common/decals/desrock_albedo.dds","19"
"/env/evergreen2/decals/eg_scatterstones001_spec.dds","18"
"/env/lava/decals/lav_lava_crack_lg02c_albedo.dds","18"
"/env/desert/decals/drycreek04_normals.dds","18"
"/env/common/decals/scorch_006_albedo.dds","18"
"/env/lava/decals/lav_lava_crack_lg04b_albedo.dds","18"
"/env/tropical/decals/trbush_b001_albedo.dds","18"
"/env/swamp/decals/mudhole006_albedo.dds","18"
"/env/swamp/decals/sw_scum02_albedo.dds","18"
"/env/geothermal/decals/geo_treadmark_st03_albedo.dds","17"
"/maps/theta_passage_-_faf_version.v0001/flop_and_rotate_90/env/common/decals/erosion009_normals.dds","17"
"/env/desert/decals/des_treadmarkst05_albedo.dds","17"
"/env/evergreen2/decals/eg_boulder008dk_albedo.dds","17"
"/env/common/decals/nuke_scorch_001_normals.dds","17"
"/env/geothermal/decals/geo_treadmark_x09_albedo.dds","16"
"/env/common/decals/scorch_generic_007_albedo.dds","16"
"/env/evergreen/decals/e_tarmac_road_albedo.dds","16"
"/env/geothermal/decals/mudsplats03_albedo.dds","16"
"/env/swamp/decals/pile001_normals.dds","16"
"/env/geothermal/decals/geo_treadmark_nd01_albedo.dds","16"
"/env/red barrens/decals/rb_treadmarknd01_albedo.dds","15"
"/env/evergreen2/decals/eg_palace_walkway_01_albedo.dds","15"
"/env/lava/decals/lav_treadmark_cu02_albedo.dds","14"
"/env/lava/decals/lav_lava_cracks06b_albedo.dds","14"
"/env/evergreen/decals/e_tatr006_albedo.dds","14"
"/maps/adaptive_alpine_valley.v0003/env/decals/roads002_edit2_albedo.dds","14"
"/env/crystalline/decals/crystcrack01_normals.dds","14"
"/env/tundra/decals/tund_tundra_01_albedo.dds","14"
"/env/desert/decals/des_cliff03_albedo.dds","14"
