"ScPath","ScStem","ScRole","UsedRole","Exact","Maps","Cc0","RemapR","RemapG","RemapB","Clamped","WantLuma","GotLuma"
"/env/crystalline/layers/crystalwerk02b_albedo.dds","crystalwerk02b","crystal","crystal","True","14","cc0_ice003","0.263","0.2178","0.1882","False","19","19"
"/maps/the_crucible.v0004/env/layers/cru_rock001_albedo.dds","cru_rock001","crystal","crystal","True","1","cc0_onyx006","0.1716","0.1561","0.142","False","19.3","19.3"
"/env/crystalline/layers/cryst_rock01_albedo.dds","cryst_rock01","crystal","crystal","True","4","cc0_ice002","0.1854","0.163","0.1686","False","19.3","19.3"
"/maps/rusting_iron_roundel.v0003/env/layers/cru_grayrock1.dds","cru_grayrock1","crystal","crystal","True","1","cc0_onyx006","0.1798","0.1535","0.1399","False","19.4","19.4"
"/maps/the_crucible.v0004/env/layers/cru_grayrock1.dds","cru_grayrock1","crystal","crystal","True","1","cc0_onyx006","0.1798","0.1535","0.1399","False","19.4","19.4"
"/maps/eonnacia.v0033/env/layers/cryst011_albedo6.dds","cryst011_albedo6","crystal","crystal","True","1","cc0_ice003","0.0545","0.2663","0.3875","False","19","19"
"/env/crystalline/layers/cr_rock001_albedo.dds","cr_rock001","crystal","crystal","True","6","cc0_ice002","0.1743","0.1727","0.1666","False","19.6","19.6"
"/maps/forbidden_isles.v0004/env/layers/crystalwerk02b_orange_tint_albedo.dds","crystalwerk02b_orange_tint","crystal","crystal","True","1","cc0_onyx006","0.244","0.1569","0.0654","False","20.8","20.8"
"/maps/tiger_isle.v0006/env/layers/crystalwerk02b_orange_tint_albedo.dds","crystalwerk02b_orange_tint","crystal","crystal","True","1","cc0_onyx006","0.244","0.1569","0.0654","False","20.8","20.8"
"/maps/eonnacia.v0033/env/layers/crystalwerk04_albedo.dds","crystalwerk04","crystal","crystal","True","1","cc0_ice003","0.2579","0.2044","0.4105","False","20.4","20.4"
"/env/crystalline/layers/cr_rock05_albedo.dds","cr_rock05","crystal","crystal","True","7","cc0_ice003","0.2879","0.2427","0.241","False","21.3","21.3"
"/env/crystalline/layers/cr_rock004_albedo.dds","cr_rock004","crystal","crystal","True","1","cc0_ice003","0.2839","0.2825","0.2399","False","23.3","23.3"
"/maps/the_crucible.v0004/env/layers/cru_rock002.dds","cru_rock002","crystal","crystal","True","1","cc0_onyx006","0.2226","0.1859","0.1553","False","23.4","23.4"
"/maps/mystic_land.v0008/env/layers/cryst010_albedo2.dds","cryst010_albedo2","crystal","crystal","True","1","cc0_ice003","0.03","0.3595","0.4188","True","23","23.6"
"/maps/mystic_land.v0011/env/layers/cryst010_albedo2.dds","cryst010_albedo2","crystal","crystal","True","1","cc0_ice003","0.03","0.3595","0.4188","True","23","23.6"
"/env/crystalline/layers/cr_rock002b_albedo.dds","cr_rock002b","crystal","crystal","True","2","cc0_ice003","0.3027","0.2746","0.2694","False","23.6","23.6"
"/env/crystalline/layers/crystalwerk01_albedo.dds","crystalwerk01","crystal","crystal","True","6","cc0_ice003","0.343","0.2873","0.2557","False","25","25"
"/env/crystalline/layers/cr_07_01b_albedo.dds","cr_07_01b","crystal","crystal","True","7","cc0_ice002","0.0617","0.279","0.2689","False","25.3","25.3"
"/env/crystalline/layers/crystalwerk03_albedo.dds","crystalwerk03","crystal","crystal","True","1","cc0_onyx006","0.2362","0.2167","0.1926","False","26.6","26.7"
"/env/crystalline/layers/cr_09_01_albedo.dds","cr_09_01","crystal","crystal","True","3","cc0_ice003","0.3404","0.3161","0.288","False","26.8","26.8"
"/env/crystalline/layers/crystalwerk04_b_albedo.dds","crystalwerk04_b","crystal","crystal","True","3","cc0_ice003","0.3675","0.3074","0.2902","False","26.9","26.9"
"/env/crystalline/layers/crystalwerk04_albedo.dds","crystalwerk04","crystal","crystal","True","1","cc0_ice003","0.3985","0.3461","0.3383","False","30.1","30.1"
"/env/crystalline/layers/cr_sandwet_albedo.dds","cr_sandwet","crystal","crystal","True","4","cc0_ice003","0.4475","0.3705","0.3495","False","32.6","32.6"
"/env/crystalline/layers/crystalwerk05_albedo.dds","crystalwerk05","crystal","crystal","True","2","cc0_ice003","0.5112","0.4214","0.3954","False","37.1","37.1"
"/env/crystalline/layers/crystalwerk06_albedo.dds","crystalwerk06","crystal","crystal","True","1","cc0_ice003","0.6365","0.5051","0.5197","False","45.4","45.4"
"/env/crystalline/layers/crystalwerk04_normals.dds","crystalwerk04_normals","crystal","crystal","True","1","cc0_ice003","0.6513","0.507","0.8379","False","49","49"
"/env/crystalline/layers/cr_rock002b_normal.dds","cr_rock002b_normal","crystal","crystal","True","1","cc0_ice003","0.6462","0.5047","0.8781","False","49.2","49.2"
"/env/swamp/layers/sw_mudder_04_albedo.dds","sw_mudder_04","dirt","dirt","True","4","cc0_ground103","0.0472","0.0694","0.0352","False","6.3","6.3"
"/env/swamp/layers/sw_mudder_01_albedo.dds","sw_mudder_01","dirt","dirt","True","6","cc0_ground103","0.0595","0.0852","0.0516","False","7.9","7.9"
"/maps/bluelands.v0002/env/layers/trop_dirt_albedo_blue tint.dds","trop_dirt_albedo_blue tint","dirt","dirt","True","1","cc0_ground103","0.0872","0.0999","0.102","False","10.3","10.3"
"/env/tropical/layers/trop_dirt_albedo.dds","trop_dirt","dirt","dirt","True","17","cc0_ground103","0.1238","0.1177","0.0632","False","12.3","12.3"
"/env/evergreen2/layers/eg_dirt002_albedo.dds","eg_dirt002","dirt","dirt","True","18","cc0_ground048","0.2459","0.2663","0.2514","False","17.2","17.2"
"/maps/gateway_and_rose.v0002/env/layers/sak_mud1.dds","sak_mud1","dirt","dirt","True","1","cc0_ground103","0.1912","0.1874","0.202","False","20.4","20.4"
"/maps/autumn.v0001/env/layers/dirt_albedo.dds","dirt","dirt","dirt","True","1","cc0_ground103","0.2041","0.2058","0.0952","False","21","21"
"/env/red barrens/layers/rb_redmud_albedo.dds","rb_redmud","dirt","dirt","True","10","cc0_gravel025","0.2586","0.1748","0.2262","False","23.3","23.3"
"/maps/bluelands.v0002/env/layers/eg_dirt002_albedo_purple tint.dds","eg_dirt002_albedo_purple tint","dirt","dirt","True","1","cc0_gravel023","0.0927","0.1027","0.1755","False","23.1","23.1"
"/env/evergreen2/layers/eg_dirt003_albedo.dds","eg_dirt003","dirt","dirt","True","28","cc0_ground107","0.1974","0.1832","0.1612","False","23.8","23.8"
"/env/evergreen2/layers/eg_dirt001_albedo.dds","eg_dirt001","dirt","dirt","True","11","cc0_ground110","0.2864","0.2532","0.2188","False","23.8","23.8"
"/env/tropical/layers/tr_ground001_albedo.dds","tr_ground001","dirt","dirt","True","4","cc0_ground103","0.2305","0.2303","0.2104","False","24.5","24.5"
"/env/evergreen/layers/dirt001_albedo.dds","dirt001","dirt","dirt","True","10","cc0_gravel025","0.1672","0.298","0.0607","False","25.1","25.1"
"/env/tropical/layers/trrawground01_albedo.dds","trrawground01","dirt","dirt","True","4","cc0_ground103","0.2459","0.2404","0.1924","False","25.5","25.5"
"/maps/autumn.v0001/env/layers/dirt_b_albedo.dds","dirt_b","dirt","dirt","True","1","cc0_ground103","0.2804","0.2303","0.2384","False","26.6","26.6"
"/maps/mentor.v0007/env/layers/mentor5.dds","mentor5","dirt","dirt","True","1","cc0_gravel025","0.2352","0.2697","0.2987","False","27.9","27.9"
"/env/paradise/layers/dirt000_albedo.dds","dirt000","dirt","dirt","True","3","cc0_ground103","0.2888","0.2665","0.1932","False","28.7","28.7"
"/env/geothermal/layers/geo_dirt_01_albedo.dds","geo_dirt_01","dirt","dirt","True","9","cc0_ground110","0.3147","0.3325","0.415","False","30.6","30.6"
"/env/tundra/layers/_tundradirt001_albedo.dds","_tundradirt001","dirt","dirt","True","2","cc0_ground110","0.3603","0.3317","0.297","False","30.8","30.8"
"/env/paradise/layers/dirt001_albedo.dds","dirt001","dirt","dirt","True","1","cc0_ground048","0.5433","0.5247","0.3762","False","34.7","34.7"
"/maps/autumn.v0001/env/layers/dirt_a_albedo.dds","dirt_a","dirt","dirt","True","1","cc0_ground103","0.3264","0.3289","0.314","False","35","35"
"/maps/amoor.v0003/env/layers/tex2_k.dds","tex2_k","dirt","dirt","True","1","cc0_ground103","0.3676","0.3487","0.2944","False","37.6","37.6"
"/maps/mentor.v0007/env/layers/mentor4.dds","mentor4","dirt","dirt","True","1","cc0_ground048","0.5818","0.5762","0.4323","False","37.9","37.9"
"/maps/amoor.v0003/env/layers/soil_q3.dds","soil_q3","dirt","dirt","True","1","cc0_ground103","0.3829","0.3611","0.3112","False","39.1","39.1"
"/env/evergreen2/layers/evgrass006_albedo.dds","evgrass006","grass","grass","True","10","cc0_grass001","0.0544","0.0865","0.03","True","5.8","5.9"
"/env/tropical/layers/trop_grassjung_albedo.dds","trop_grassjung","grass","grass","True","2","cc0_grass001","0.1067","0.1209","0.0938","False","9.1","9.1"
"/env/swamp/layers/sw_sphagnum_03_albedo.dds","sw_sphagnum_03","grass","grass","True","2","cc0_grass001","0.1358","0.13","0.1005","False","10.2","10.2"
"/env/evergreen2/layers/eg_grass001_albedo.dds","eg_grass001","grass","grass","True","18","cc0_grass001","0.1633","0.135","0.1081","False","11","11"
"/maps/bluelands.v0002/env/layers/trop_grass_albedo_blue tint.dds","trop_grass_albedo_blue tint","grass","grass","True","1","cc0_ground037","0.065","0.0741","0.157","False","10.9","10.9"
"/env/evergreen2/layers/evgrass010a_albedo.dds","evgrass010a","grass","grass","True","23","cc0_grass001","0.166","0.1403","0.0888","False","11.3","11.3"
"/env/paradise/layers/macrotexture001_albedo.dds","macrotexture001","grass","grass","True","4","cc0_grass001","0.2188","0.1601","0.134","False","13.6","13.6"
"/env/paradise/layers/macrotexture000_albedo.dds","macrotexture000","grass","grass","True","3","cc0_grass001","0.2188","0.1601","0.134","False","13.6","13.6"
"/env/evergreen2/layers/evgrass009_albedo.dds","evgrass009","grass","grass","True","17","cc0_grass001","0.2007","0.1678","0.1449","False","13.7","13.7"
"/env/tropical/layers/trgrass005_albedo.dds","trgrass005","grass","grass","True","1","cc0_grass001","0.2188","0.18","0.1273","False","14.7","14.7"
"/env/evergreen2/layers/evgrass005a_albedo.dds","evgrass005a","grass","grass","True","11","cc0_grass001","0.2117","0.1838","0.1298","False","14.7","14.7"
"/env/swamp/layers/sw_sphagnum_01_albedo.dds","sw_sphagnum_01","grass","grass","True","2","cc0_grass001","0.171","0.2017","0.1198","False","14.8","14.8"
"/env/swamp/layers/sw_sphagnum_02_albedo.dds","sw_sphagnum_02","grass","grass","True","1","cc0_grass001","0.177","0.2082","0.1257","False","15.3","15.3"
"/env/evergreen2/layers/evgrass010_albedo.dds","evgrass010","grass","grass","True","8","cc0_grass001","0.2386","0.1845","0.1893","False","15.6","15.6"
"/env/swamp/layers/sw_grass_02_albedo.dds","sw_grass_02","grass","grass","True","1","cc0_grass004","0.1511","0.1707","0.0961","False","15.8","15.8"
"/env/tropical/layers/trop_grass_albedo.dds","trop_grass","grass","grass","True","15","cc0_grass004","0.2116","0.1594","0.1189","False","16.9","16.9"
"/env/evergreen2/layers/eg_grass002c_albedo.dds","eg_grass002c","grass","grass","True","4","cc0_grass001","0.2611","0.2044","0.1332","False","16.8","16.8"
"/env/paradise/layers/grass000_albedo.dds","grass000","grass","grass","True","1","cc0_grass004","0.2116","0.1594","0.1189","False","16.9","16.9"
"/env/paradise/layers/grassjung_albedo.dds","grassjung","grass","grass","True","1","cc0_grass001","0.171","0.2402","0.1776","False","17.2","17.2"
"/env/evergreen2/layers/eg_grass002b_albedo.dds","eg_grass002b","grass","grass","True","3","cc0_grass001","0.2617","0.2162","0.186","False","17.7","17.7"
"/env/evergreen2/layers/eg_grass002_albedo.dds","eg_grass002","grass","grass","True","1","cc0_grass001","0.2617","0.2162","0.186","False","17.7","17.7"
"/env/swamp/layers/sw_mossy_01_albedo.dds","sw_mossy_01","grass","grass","True","4","cc0_ground037","0.106","0.141","0.1162","False","18.2","18.2"
"/env/evergreen/layers/macrotexture000_albedo.dds","macrotexture000","grass","grass","True","235","cc0_grass001","0.2925","0.2078","0.3091","False","18.4","18.4"
"/env/evergreen/layers/macrotexture001_albedo.dds","macrotexture001","grass","grass","True","11","cc0_grass001","0.2925","0.2078","0.3091","False","18.4","18.4"
"/env/evergreen2/layers/evtrans01_albedo.dds","evtrans01","grass","grass","True","4","cc0_grass004","0.1985","0.1899","0.1396","False","18.6","18.6"
"/env/tropical/layers/trtrans001_albedo.dds","trtrans001","grass","grass","True","1","cc0_grass004","0.1503","0.2012","0.2716","False","18.6","18.6"
"/env/utility/layers/farms001_albedo.dds","farms001","grass","grass","True","1","cc0_grass001","0.2881","0.2185","0.2748","False","18.8","18.8"
"/env/evergreen/layers/grass001_albedo.dds","grass001","grass","grass","True","5","cc0_grass004","0.2293","0.1893","0.0422","False","18.9","18.9"
"/maps/autumn.v0001/env/layers/grass_albedo.dds","grass","grass","grass","True","1","cc0_grass001","0.3205","0.2314","0.1365","False","19.5","19.5"
"/env/evergreen2/layers/evgrass003_albedo.dds","evgrass003","grass","grass","True","11","cc0_grass004","0.1881","0.2031","0.2108","False","19.5","19.5"
"/env/evergreen2/layers/evgrass005_albedo.dds","evgrass005","grass","grass","True","40","cc0_grass001","0.3035","0.2337","0.2438","False","19.8","19.8"
"/maps/mystic_land.v0008/env/layers/tr_grasshills_albedo2.dds","tr_grasshills_albedo2","grass","grass","True","1","cc0_grass001","0.1589","0.2715","0.3987","False","19.6","19.6"
"/maps/mystic_land.v0011/env/layers/tr_grasshills_albedo2.dds","tr_grasshills_albedo2","grass","grass","True","1","cc0_grass001","0.1589","0.2715","0.3987","False","19.6","19.6"
"/env/tropical/layers/trtrans005_albedo.dds","trtrans005","grass","grass","True","1","cc0_grass004","0.1596","0.2189","0.2177","False","19.7","19.7"
"/env/evergreen2/layers/evgrass004_albedo.dds","evgrass004","grass","grass","True","27","cc0_grass001","0.2859","0.2436","0.2212","False","19.8","19.8"
"/maps/amoor.v0003/env/layers/grass_dark01.dds","grass_dark01","grass","grass","True","1","cc0_grass001","0.3194","0.2482","0.2287","False","20.8","20.8"
"/env/evergreen2/layers/evhostas001_albedo.dds","evhostas001","grass","grass","True","3","cc0_grass004","0.1892","0.2237","0.1963","False","20.8","20.8"
"/env/evergreen/layers/grass000_albedo.dds","grass000","grass","grass","True","3","cc0_grass004","0.2621","0.1999","0.1368","False","21","21"
"/env/evergreen2/layers/evgrass007_albedo.dds","evgrass007","grass","grass","True","14","cc0_grass001","0.3293","0.2516","0.2949","False","21.5","21.5"
"/env/common/layers/none_albedo.dds","none","grass","grass","True","5","cc0_grass001","0.3299","0.244","0.4272","False","21.6","21.6"
"/env/tropical/layers/trgrass003_albedo.dds","trgrass003","grass","grass","True","1","cc0_grass004","0.1476","0.2549","0.246","False","21.8","21.8"
"/env/tropical/layers/trbush_moss_albedo.dds","trbush_moss","grass","grass","True","1","cc0_grass004","0.175","0.251","0.206","False","22.2","22.2"
"/env/evergreen2/layers/evgrass008_albedo.dds","evgrass008","grass","grass","True","8","cc0_grass004","0.2355","0.2269","0.244","False","22.6","22.6"
"/env/evergreen2/layers/evtrans03_albedo.dds","evtrans03","grass","grass","True","18","cc0_grass001","0.3321","0.284","0.2103","False","22.9","22.9"
"/maps/gateway_and_rose.v0002/env/layers/sak_grass1.dds","sak_grass1","grass","grass","True","1","cc0_ground037","0.1604","0.1646","0.2053","False","23.6","23.6"
"/env/tropical/layers/trgrass006_albedo.dds","trgrass006","grass","grass","True","2","cc0_grass001","0.2914","0.3092","0.3066","False","23.9","23.9"
"/env/tropical/layers/trgrass004_albedo.dds","trgrass004","grass","grass","True","1","cc0_grass001","0.2397","0.3245","0.346","False","23.8","23.8"
"/maps/mystic_land.v0008/env/layers/evgrass005a_albedo2.dds","evgrass005a_albedo2","grass","grass","True","1","cc0_grass001","0.0924","0.3656","0.5051","False","23.8","23.8"
"/maps/mystic_land.v0011/env/layers/evgrass005a_albedo2.dds","evgrass005a_albedo2","grass","grass","True","1","cc0_grass001","0.0924","0.3656","0.5051","False","23.8","23.8"
"/env/swamp/layers/sw_creeper_01_albedo.dds","sw_creeper_01","grass","grass","True","3","cc0_grass004","0.2413","0.2661","0.1832","False","24.9","24.9"
"/env/swamp/layers/sw_grass_01_albedo.dds","sw_grass_01","grass","grass","True","1","cc0_grass004","0.2617","0.2732","0.226","False","26.2","26.2"
"/maps/bluelands.v0002/env/layers/evgrass008_blue_tint.dds","evgrass008_blue_tint","grass","grass","True","1","cc0_grass001","0.315","0.2951","0.9499","False","26.4","26.4"
"/env/swamp/layers/sw_grass_03_albedo.dds","sw_grass_03","grass","grass","True","1","cc0_grass004","0.2709","0.2809","0.2322","False","27","27"
"/maps/gateway_and_rose.v0002/env/layers/sak_grass3.dds","sak_grass3","grass","grass","True","1","cc0_grass001","0.4519","0.2943","0.5579","False","27.4","27.4"
"/maps/gateway_and_rose.v0002/env/layers/sak_grass2.dds","sak_grass2","grass","grass","True","1","cc0_grass001","0.4926","0.313","0.4591","False","28.8","28.8"
"/env/tropical/layers/trgrass007_albedo.dds","trgrass007","grass","grass","True","3","cc0_ground037","0.1799","0.2423","0.2446","False","31.5","31.5"
"/maps/gateway_and_rose.v0002/env/layers/sak_yg1.dds","sak_yg1","grass","grass","True","1","cc0_grass001","0.541","0.3504","0.4959","False","31.9","31.9"
"/env/tropical/layers/trtrans004_albedo.dds","trtrans004","grass","grass","True","1","cc0_ground037","0.22","0.243","0.2907","False","33.9","33.9"
"/env/tundra/layers/tund_grass_albedo.dds","tund_grass","grass","grass","True","2","cc0_ground037","0.2553","0.2285","0.2769","False","34.1","34.1"
"/env/tropical/layers/trtrans002_albedo.dds","trtrans002","grass","grass","True","2","cc0_ground037","0.2183","0.2626","0.2892","False","35.5","35.5"
"/maps/skellige.v0005/env/layers/jungle_floor_001_basecolor.dds","jungle_floor_001_basecolor","grass","grass","True","1","cc0_ground037","0.2688","0.239","0.2821","False","35.7","35.7"
"/env/common/layers/shallow_albedo.dds","shallow","grass","grass","True","1","cc0_ground037","0.177","0.2959","0.4544","False","38.1","38.1"
"/maps/mentor.v0007/env/layers/mentor1.dds","mentor1","grass","grass","True","1","cc0_ground037","0.3826","0.36","0.3178","False","51.7","51.7"
"/maps/mentor.v0007/env/layers/mentor2.dds","mentor2","grass","grass","True","1","cc0_ground037","0.3999","0.3681","0.4607","False","54.6","54.6"
"/env/lava/layers/lav_gravel_albedo.dds","lav_gravel","gravel","gravel","True","14","cc0_ground054","0.048","0.0479","0.0594","False","6.9","6.9"
"/env/evergreen2/layers/eg_gravel002_albedo.dds","eg_gravel002","gravel","gravel","True","6","cc0_gravel040","0.1604","0.1514","0.122","False","14.8","14.8"
"/env/evergreen2/layers/eg_gravel_albedo.dds","eg_gravel","gravel","gravel","True","9","cc0_ground110","0.2188","0.2197","0.1888","False","19.8","19.8"
"/env/evergreen2/layers/eg_gravel01_albedo.dds","eg_gravel01","gravel","gravel","True","7","cc0_ground110","0.2188","0.2197","0.1888","False","19.8","19.8"
"/env/evergreen2/layers/eg_gravel2_albedo.dds","eg_gravel2","gravel","gravel","True","5","cc0_ground110","0.2188","0.2197","0.1888","False","19.8","19.8"
"/env/red barrens/layers/rb_gravel01_albedo.dds","rb_gravel01","gravel","gravel","True","5","cc0_gravel025","0.2121","0.1617","0.2262","False","20.3","20.3"
"/env/tundra/layers/tund_gravil_albedo.dds","tund_gravil","gravel","gravel","True","1","cc0_ground110","0.2397","0.2679","0.2998","False","23.9","23.9"
"/env/evergreen2/layers/eg_gravel003_albedo.dds","eg_gravel003","gravel","gravel","True","6","cc0_ground110","0.3136","0.3154","0.2711","False","28.4","28.4"
"/env/desert/layers/des_gravel_albedo.dds","des_gravel","gravel","gravel","True","26","cc0_ground054","0.2434","0.2244","0.1942","False","32.1","32.1"
"/env/desert/layers/des_gravel01_albedo.dds","des_gravel01","gravel","gravel","True","32","cc0_ground080","0.2191","0.206","0.1984","False","33.6","33.6"
"/maps/adaptive_alpine_valley.v0003/env/layers/pebblegravel.dds","pebblegravel","gravel","gravel","True","1","cc0_ground110","0.3614","0.3726","0.3846","False","33.8","33.8"
"/env/evergreen2/layers/eg_gravel004_albedo.dds","eg_gravel004","gravel","gravel","True","4","cc0_ground110","0.4275","0.4324","0.3722","False","38.8","38.8"
"/env/evergreen2/layers/eg_gravel005_albedo.dds","eg_gravel005","gravel","gravel","True","21","cc0_gravel040","0.4417","0.4047","0.3218","False","39.9","39.9"
"/env/lava/layers/lav_ribbon01_albedo.dds","lav_ribbon01","lava","lava","True","3","cc0_lava001","0.1044","0.1188","0.1332","False","7","7"
"/env/lava/layers/lav_tech_wiers_albedo.dds","lav_tech_wiers","lava","lava","True","3","cc0_lava004","0.1239","0.0942","0.1828","False","11.1","11.1"
"/env/lava/layers/lav_ribbon_albedo.dds","lav_ribbon","lava","lava","True","3","cc0_lava001","0.2078","0.2344","0.2697","False","14","14"
"/env/paradise/layers/lavarock_albedo.dds","lavarock","lava","lava","True","2","cc0_lava001","0.2184","0.2856","0.226","False","15.6","15.6"
"/env/geothermal/layers/geo_lavadk_01_albedo.dds","geo_lavadk_01","lava","lava","True","2","cc0_lava001","0.2314","0.3197","0.341","False","17.7","17.7"
"/env/geothermal/layers/geo_lavamd_02_albedo.dds","geo_lavamd_02","lava","lava","True","7","cc0_lava001","0.2525","0.3968","0.3896","False","21","21"
"/env/lava/layers/lav_lava01_albedo.dds","lav_lava01","lava","lava","True","10","cc0_lava004","0.4331","0.0502","0.03","True","24.5","24.6"
"/env/lava/layers/lav_lava02_albedo.dds","lav_lava02","lava","lava","True","12","cc0_lava004","0.4308","0.0559","0.03","True","24.6","24.7"
"/maps/samurais_clutch_15x15.v0002/env/layers/granular-colorful_darker.dds","granular-colorful_darker","lava","lava","True","1","cc0_lava004","0.3105","0.2413","0.5605","False","28.5","28.5"
"/env/geothermal/layers/geo_lavamd_03_albedo.dds","geo_lavamd_03","lava","lava","True","5","cc0_lava001","0.488","0.6577","0.64","False","36.4","36.4"
"/env/geothermal/layers/geo_lavalt_01_albedo.dds","geo_lavalt_01","lava","lava","True","3","cc0_lava001","0.5191","0.6589","0.6472","False","37.1","37.1"
"/env/lava/layers/lav_rock10_albedo.dds","lav_rock10","rock","rock","True","4","cc0_rock058","0.0304","0.03","0.03","True","2.2","2.5"
"/env/tropical/layers/trop_rock_albedo.dds","trop_rock","rock","rock","True","9","cc0_rock058","0.0541","0.0489","0.0379","False","4.1","4.1"
"/env/lava/layers/lav_rock01_albedo.dds","lav_rock01","rock","rock","True","3","cc0_rock058","0.0817","0.051","0.0566","False","5","5"
"/env/lava/layers/lav_rock09_albedo.dds","lav_rock09","rock","rock","True","12","cc0_rock058","0.0845","0.0535","0.0662","False","5.3","5.3"
"/env/lava/layers/lav_rock07b_albedo.dds","lav_rock07b","rock","rock","True","4","cc0_rock058","0.0788","0.0659","0.0683","False","5.8","5.8"
"/env/lava/layers/lav_rock09b_albedo.dds","lav_rock09b","rock","rock","True","10","cc0_rock058","0.0807","0.0688","0.0627","False","5.9","5.9"
"/env/evergreen2/layers/eg_rock_albedo.dds","eg_rock","rock","rock","True","10","cc0_rock051","0.0743","0.0555","0.0476","False","6.9","6.9"
"/maps/adaptive_dust_survival.v0003/env/layers/darkerstone.dds","darkerstone","rock","rock","True","1","cc0_rock058","0.1154","0.0908","0.0832","False","8","8"
"/maps/frosted_isles.v0002/env/layers/rock035_1k_color.dds","rock035_1k_color","rock","rock","True","1","cc0_rock058","0.0727","0.1049","0.1027","False","7.9","7.9"
"/env/lava/layers/lav_rock02_albedo.dds","lav_rock02","rock","rock","True","1","cc0_rock058","0.1159","0.0887","0.0959","False","8.1","8.1"
"/env/tropical/layers/trrock005_albedo.dds","trrock005","rock","rock","True","1","cc0_rock058","0.0974","0.1086","0.091","False","8.6","8.6"
"/env/lava/layers/lav_rock02b_albedo.dds","lav_rock02b","rock","rock","True","3","cc0_rock058","0.1111","0.1024","0.0977","False","8.7","8.7"
"/env/red barrens/layers/rb_rock_albedo.dds","rb_rock","rock","rock","True","8","cc0_rock029","0.1471","0.0724","0.0348","False","9.1","9.1"
"/env/lava/layers/lav_rock08_albedo.dds","lav_rock08","rock","rock","True","5","cc0_rock058","0.1387","0.1074","0.1037","False","9.6","9.6"
"/env/lava/layers/lav_rock03_albedo.dds","lav_rock03","rock","rock","True","7","cc0_rock058","0.143","0.1103","0.114","False","10","10"
"/env/lava/layers/lav_rock03b_albedo.dds","lav_rock03b","rock","rock","True","5","cc0_rock058","0.142","0.1194","0.114","False","10.4","10.4"
